ID,Name,Latitude,Longitude,Altitude,MappedAltitude,Elev_10km^2,Elev_100km^2,Elev_1000km^2,ElevSD_10km^2,ElevSD_100km^2,ElevSD_1000km^2,E-W_slope_10km^2,E-W_slope_100km^2,E-W_slope_1000km^2,N-S_slope_10km^2,N-S_slope_100km^2,N-S_slope_1000km^2
234,SAN SEBASTIAN - IGUELDO,43.3075,-2.039444444,2.51,1.46,1.209333333,0.518545455,1.190228956,0.671208576,0.671225903,1.656500778,-0.264433481,-0.038351776,0.001093968,0.139308855,-0.095084757,-0.141317171
414,BURGOS-VILLAFRIA,42.35611111,-3.6325,8.9,8.86,8.864,9.176363636,9.343326599,0.077625474,0.343431555,0.567838602,0.073371673,0.028495235,0.041939899,0.029157667,-0.020171477,-0.009619605
420,A CORUNA,43.36722222,-8.419444444,0.58,0.2,0.199333333,0.235151515,0.521178451,0.204850701,0.404798363,0.822586905,-0.161516167,-0.050237181,-0.009670367,-0.062634989,-0.081445121,-0.060941328
422,PAMPLONA,42.77694444,-1.65,4.59,4.41,4.392666667,4.860181818,5.805111111,0.105388171,0.93607345,1.52118714,0.065985263,-0.080243273,0.079819234,-0.05399568,-0.161810328,-0.018963937
1390,VILLAMECA,42.63,-6.07,9.78,9.49,9.489333333,9.944969697,10.74802694,0.093462496,0.50157511,1.476471654,-0.084697502,-0.054112648,-0.057330421,0.004319654,0.087976962,0.112536398
1392,SANTANDER CENTRO,43.46472222,-3.818888889,0.64,0.25,0.214,0.094121212,0.44986532,0.17565388,0.145186961,0.727494488,-0.053182153,-0.011904591,0.010478811,0.157667387,-0.003691341,-0.056076904
1393,BILBAO AEROPUERTO,43.29805556,-2.905833333,0.42,0.15,0.316666667,0.96430303,1.645488215,0.139982992,0.804357208,1.536525856,0.02954564,0.106100505,0.012318115,-0.008639309,-0.045133844,-0.078456959
1394,SANTIAGO DE COMPOSTELA/LABACOLLA,42.88777778,-8.410833333,3.7,3.46,3.262666667,3.044727273,2.75416835,0.393418473,0.541103844,0.833144232,-0.343221855,-0.083044353,0.030989716,-0.059395248,0.07341449,0.049838687
1395,VIGO PEINADOR,42.23944444,-8.623888889,2.61,2.25,2.428,2.483939394,1.831191919,0.564512432,1.385415187,1.499369542,-0.477654518,0.199279588,0.047563857,0.049676026,-0.033025722,0.02557905
1396,PONFERRADA,42.56388889,-6.6,5.34,5.2,5.417333333,5.588727273,7.646148148,0.455309419,0.688956584,2.739886324,0.336327872,0.159738313,0.142781457,0.286177106,0.003953138,-0.141756708
1397,LEON VIRGEN DEL CAMINO,42.58888889,-5.649444444,9.16,9.04,9.02,8.854909091,9.004262626,0.123635409,0.439619595,0.863764296,-0.104887023,-0.126432318,-0.037903634,0.023758099,0.043242359,0.071780568
1398,LOGRONO-AGONCILLO,42.45222222,-2.331111111,3.53,4.12,3.833333333,3.905757576,4.930006734,0.424847312,0.457097352,1.361116777,-0.182198115,-0.029468898,-0.044545063,-0.435205184,-0.090306957,-0.05202001
3903,A CORUNA/ALVEDRO,43.30694444,-8.372222222,0.98,0.64,0.319333333,0.59230303,1.106350168,0.324949813,0.558641235,1.333213094,-0.237349977,-0.084286613,-0.033032502,-0.106911447,-0.051043916,-0.118081382
3904,VITORIA AERODROMO,42.85083333,-2.654722222,5.21,5.12,5.168,5.433939394,6.421750842,0.091978258,0.5097796,1.356372413,-0.033485059,-0.003462979,0.046890006,-0.102591793,-0.140624386,-0.039262608
3905,VITORIA/FORONDA,42.87194444,-2.733333333,5.13,4.94,4.960666667,5.278727273,6.283757576,0.032396355,0.46236028,1.276333094,0.010340974,-0.024701306,-0.002563819,0.031317495,0.063171674,-0.014622066
3909,ASTURIAS/AVILES,43.56694444,-6.044166667,1.27,1.24,1.004666667,0.595212121,1.065171717,0.327192968,0.67988574,1.332345803,0.052689725,0.053503509,-0.009553999,-0.179265659,-0.169101381,-0.114081756
3910,GIJON,43.53833333,-5.641944444,0.03,0.05,0.148666667,0.381515152,1.08996633,0.210029476,0.55532193,1.349599096,0.080265656,0.071667363,0.018161539,0.06587473,-0.120007854,-0.119092799
3911,GIJON LA MERCED,43.53833333,-5.641944444,0.22,0.05,0.148666667,0.381515152,1.08996633,0.210029476,0.55532193,1.349599096,0.080265656,0.071667363,0.018161539,0.06587473,-0.120007854,-0.119092799
3912,GIJON MUSEL,43.56083333,-5.698611111,0.05,0.01,0.165333333,0.21169697,0.937306397,0.254863175,0.310877249,1.247741741,-0.189584525,-0.0507408,0.014590276,-0.006479482,-0.046560639,-0.107874178
3913,OVIEDO,43.35444444,-5.872777778,3.36,3.05,2.486,2.516060606,3.418047138,0.325813268,0.91438217,2.30172125,-0.040871469,0.061029014,-0.038683296,-0.136069114,0.105471562,-0.161900658
3922,SANTANDER CMT,43.49166667,-3.799722222,0.52,0.51,0.202666667,0.062,0.320592593,0.241408565,0.131914607,0.602852652,-0.09996275,-0.009755817,0.01107758,-0.174946004,-0.014117416,-0.041010088
3923,SANTANDER/PARAYAS,43.42916667,-3.831388889,0.05,0.12,0.052666667,0.350545455,0.890161616,0.024043611,0.734476132,1.364139481,-0.006401555,0.02982383,0.025453639,0.005399568,-0.104084037,-0.108836828
3936,SAN SEBASTIAN/FUENTERRABIA,43.36055556,-1.787222222,0.04,0.2,0.145333333,0.641454545,1.136491582,0.193311986,0.796038403,1.56287756,0.11473557,0.036418839,0.027140833,0.041036717,-0.140467308,-0.127306527
3944,LUGO/ROZAS,43.11527778,-7.456111111,4.45,4.34,4.49,4.846,4.997777778,0.171630833,0.641906269,1.013291276,0.082727793,0.127981546,0.079403186,-0.159827214,-0.158793115,-0.032864456
3950,PAMPLONA (OBSERVATORIO),42.8175,-1.636388889,4.42,4.56,4.426666667,4.673878788,5.883858586,0.115861165,0.600414072,1.384161367,-0.012803111,0.061177702,0.058002208,-0.056155508,0.076529878,0.014811355
3951,OURENSE,42.32777778,-7.860277778,1.43,1.7,1.946,2.67030303,4.187771044,0.632972579,0.902077835,1.441986622,0.505722877,0.10364956,0.085233988,0.008639309,-0.095110937,-0.026231939
3952,OURENSE (INSTITUTO),42.33333333,-7.863055556,1.48,1.27,1.616666667,2.599030303,4.121010101,0.422250208,0.942956705,1.387545945,0.34420671,0.038092772,0.07502743,0.044276458,-0.081733098,-0.01743815
3954,PONTEVEDRA,42.44,-8.616388889,1.08,1.35,0.996,1.300424242,2.338619529,0.513876027,0.98596514,1.757352876,0.34420671,0.165776943,0.135656389,-0.304535637,-0.10850841,0.003273989
3955,PONTEVEDRA (INSTITUTO),42.43055556,-8.649722222,0.19,0.28,0.3,1.121333333,1.913986532,0.215771043,1.126799663,1.616031878,0.002462137,0.09609048,0.118660656,0.044276458,-0.022606192,0.003287063
